path
The path
row  col
 1    1
 2    2
 2    3
 2    4
 2    5
 2    6
 3    6
 4    7
 4    8
 4    9
 3   10
 2   10
 2   11
 2   12
 3   12
 4   13
 4   14
 4   15
 3   16
 2   16
 2   17
 2   18
 3   18
 4   19
 3   20
 2   20
 2   21
 2   22
 3   22
 4   22
 5   22
 6   23
 6   24
 7   24
 8   25
 8   26
 8   27
 8   28
 8   29
 8   30
 9   30
10   30
10   29
10   28
10   27
11   26
12   27
12   28
12   29
12   30
13   30
14   30
15   30
16   30
17   30
18   30
19   30
20   31
20   32
21   32
22   33
22   34
22   35
22   36
23   36
24   36
25   36
26   36
26   35
26   34
26   33
27   32
28   33
28   34
29   34
30   35
30   36
31   36
32   36
32   35
33   34
34   35
34   36
34   37
34   38
34   39
34   40
35   40
36   40
37   40
38   40
39   40
40   40
40   39
41   38
42   38
43   38
44   38
44   37
44   36
44   35
45   34
46   35
46   36
46   37
46   38
46   39
45   40
44   40
44   41
43   42
42   42
42   43
42   44
43   44
44   45
44   46
45   46
46   47
45   48
44   48
43   48
42   48
42   47
42   46
41   46
40   46
40   47
40   48
40   49
39   50
38   50
38   51
38   52
39   52
40   52
41   52
42   52
42   51
43   50
44   51
44   52
45   52
46   52
47   52
48   52
49   52
50   52
51   52
52   52
53   52
54   53
54   54
54   55
53   56
52   56
52   55
52   54
51   54
50   54
49   54
48   54
47   54
46   54
45   54
44   54
44   55
43   56
42   56
41   56
40   56
39   56
38   56
38   57
37   58
36   58
36   57
36   56
35   56
34   56
34   55
35   54
36   54
37   54
36   53
36   52
35   52
34   52
33   52
32   52
32   53
32   54
32   55
32   56
32   57
32   58
33   58
34   59
34   60
34   61
33   62
32   62
32   61
32   60
31   60
30   60
29   60
28   60
28   61
28   62
29   62
30   63
30   64
31   64
32   65
32   66
33   66
34   66
34   65
35   64
36   64
36   63
36   62
36   61
37   60
38   61
38   62
39   62
40   62
40   61
40   60
40   59
41   58
42   59
42   60
42   61
42   62
43   62
44   62
45   62
46   62
47   62
48   62
49   62
50   62
51   62
52   62
53   62
54   62
55   62
56   62
57   62
58   62
58   61
58   60
57   60
56   60
56   59
56   58
55   58
56   57
56   56
56   55
57   54
58   55
58   56
58   57
58   58
59   58
60   58
60   57
61   56
62   56
62   55
62   54
61   54
60   54
60   53
60   52
60   51
61   50
62   51
62   52
63   52
64   52
64   51
65   50
66   50
67   50
68   51
68   52
68   53
68   54
69   54
70   54
71   54
72   55
71   56
70   56
70   57
69   58
68   58
68   57
68   56
67   56
66   56
66   57
65   58
64   58
63   58
62   58
62   59
62   60
62   61
62   62
62   63
62   64
63   64
64   64
65   64
66   64
67   64
68   64
68   63
69   62
70   62
71   62
72   62
72   61
72   60
71   60
72   59
73   58
74   58
75   58
76   59
76   60
76   61
76   62
77   62
78   62
78   61
79   60
80   60
80   59
80   58
80   57
80   56
80   55
80   54
79   54
78   54
78   55
77   56
76   56
76   55
76   54
75   54
74   54
74   53
75   52
76   52
77   52
78   52
79   52
80   52
80   51
81   50
82   50
83   50
84   50
85   50
86   51
85   52
84   52
84   53
83   54
82   54
82   55
82   56
82   57
82   58
83   58
84   58
85   58
86   59
85   60
84   60
83   60
82   60
82   61
82   62
83   62
84   63
83   64
82   64
81   64
80   64
79   64
78   64
77   64
76   64
76   65
75   66
74   66
74   67
74   68
74   69
73   70
72   70
71   70
70   70
70   69
71   68
72   68
72   67
72   66
72   65
73   64
72   64
71   64
70   64
70   65
69   66
68   66
68   67
67   68
66   68
66   67
66   66
65   66
64   66
63   66
62   66
61   66
60   66
59   66
58   66
57   66
56   66
56   65
57   64
56   64
55   64
54   64
53   64
52   64
51   64
50   64
49   64
48   64
48   65
48   66
48   67
48   68
48   69
48   70
48   71
47   72
46   72
45   72
44   72
44   71
44   70
44   69
44   68
44   67
45   66
46   67
46   66
46   65
46   64
45   64
44   64
43   64
42   64
41   64
40   64
40   65
39   66
38   66
37   66
36   66
36   67
35   68
34   68
33   68
32   68
31   68
30   68
30   69
29   70
28   70
28   69
28   68
28   67
29   66
28   66
27   66
26   66
26   67
25   68
24   68
24   67
24   66
24   65
25   64
26   64
27   64
26   63
26   62
25   62
24   62
23   62
22   62
21   62
20   62
20   61
20   60
19   60
18   60
17   60
16   60
15   60
14   60
14   61
14   62
15   62
16   62
17   62
18   63
18   64
19   64
20   65
20   66
21   66
22   67
21   68
20   68
19   68
18   68
17   68
16   68
15   68
14   68
14   67
15   66
16   66
17   66
16   65
16   64
15   64
14   64
